Score		Above/Below Average
17			is below Average
81			is above Average
29			is below Average
2			is below Average
1			is below Average
29			is below Average
12			is below Average
39			is below Average
86			is above Average
3			is below Average
39			is below Average
7			is below Average
65			is above Average
54			is above Average
91			is above Average
75			is above Average
44			is below Average
21			is below Average
34			is below Average
81			is above Average
1			is below Average
63			is above Average
80			is above Average
26			is below Average
92			is above Average
57			is above Average
81			is above Average
54			is above Average
11			is below Average
62			is above Average
98			is above Average
20			is below Average
23			is below Average
79			is above Average
50			is above Average
79			is above Average
58			is above Average
91			is above Average
52			is above Average
21			is below Average
1			is below Average
15			is below Average
67			is above Average
79			is above Average
73			is above Average
20			is below Average
89			is above Average
21			is below Average
41			is below Average
23			is below Average
75			is above Average
36			is below Average
50			is above Average
33			is below Average
11			is below Average
61			is above Average
99			is above Average
6			is below Average
88			is above Average
95			is above Average
58			is above Average
68			is above Average
10			is below Average
52			is above Average
94			is above Average
49			is above Average
21			is below Average
56			is above Average
98			is above Average
1			is below Average
12			is below Average
55			is above Average
86			is above Average
33			is below Average
65			is above Average
60			is above Average
21			is below Average
2			is below Average
3			is below Average
90			is above Average
87			is above Average
78			is above Average
10			is below Average
38			is below Average
24			is below Average
16			is below Average
98			is above Average
8			is below Average
37			is below Average
59			is above Average
78			is above Average
90			is above Average
65			is above Average
5			is below Average
55			is above Average
67			is above Average
38			is below Average
52			is above Average
